sent_id,de,en,ru,level,source,audio,tatoeba_audio_license
x1-die-o,Die Kinder spielen draußen im Garten.,The children are playing outside in the garden.,Дети играют на улице в саду.,A1,llm-extra,sent_x1-die-o.mp3,
t1498462,Hast du Dienstag Zeit?,Are you free on Tuesday?,У тебя есть время во вторник?,A1,tatoeba:1498462,sent_t1498462.mp3,
x1-dienstag-n,Wir treffen uns am Dienstag im Park.,We will meet in the park on Tuesday.,Мы встретимся во вторник в парке.,A1,llm-extra,sent_x1-dienstag-n.mp3,
t628243,"Ich habe nichts, was ich dir geben könnte.",I don't have anything to give to you.,Мне нечего тебе дать.,A1,tatoeba:628243,sent_t628243.mp3,
t404924,Ich hätte gerne einen Termin beim Doktor.,I'd like to make an appointment to see the doctor.,Я хотел бы записаться на приём к врачу.,A1,tatoeba:404924,sent_t404924.mp3,
t1549287,"""Herr Doktor, alle ignorieren mich."" ""Der Nächste, bitte.""","""Doctor, everybody is ignoring me."" ""Next, please.""","""Доктор, меня все игнорируют"". - ""Следующий!""",A1,tatoeba:1549287,sent_t1549287.mp3,
t8257968,Wir haben uns letzten Donnerstag getroffen.,We met last Thursday.,Мы встретились в прошлый четверг.,A1,tatoeba:8257968,sent_t8257968.mp3,CC BY-NC 4.0
t13579483,"Sonntag, Montag, Dienstag, Mittwoch, Donnerstag, Freitag und Samstag.","Sunday, Monday, Tuesday, Wednesday, Thursday, Friday, and Saturday.","Воскресенье, понедельник, вторник, среда, четверг, пятница и суббота.",A1,tatoeba:13579483,sent_t13579483.mp3,
t407627,Das einzige freie Zimmer ist ein Doppelzimmer.,The only room available is a double.,Единственная свободная комната — на двоих.,A1,tatoeba:407627,sent_t407627.mp3,
t11185647,Ich möchte ein Doppelzimmer buchen.,I'd like to book a double room.,Я хотел бы забронировать двухместный номер.,A1,tatoeba:11185647,sent_t11185647.mp3,
t374335,Es sind nur zwei Meilen bis zum Dorf.,It's only two miles to the village.,До деревни всего две мили.,A1,tatoeba:374335,sent_t374335.mp3,
t689396,Das Dorf liegt hoch oben in den Bergen.,The village is located high up in the mountains.,Деревня расположена высоко в горах.,A1,tatoeba:689396,sent_t689396.mp3,
t7009973,Sein Vater isst dort zweimal wöchentlich.,His father eats there twice a week.,Его отец ест там два раза в неделю.,A1,tatoeba:7009973,sent_t7009973.mp3,CC BY-NC 4.0
x1-dort-a,Wir treffen uns dort nach der Schule.,We'll meet there after school.,Мы встретимся там после школы.,A1,llm-extra,sent_x1-dort-a.mp3,
t3564983,Es ist kalt hier draußen.,It's cold out here.,Здесь снаружи холодно.,A1,tatoeba:3564983,sent_t3564983.mp3,
t358358,Lass den Hund draußen.,Keep the dog out.,Оставь собаку снаружи.,A1,tatoeba:358358,sent_t358358.mp3,
x1-drei-o,Drei Kinder spielen im Garten.,Three children are playing in the garden.,Трое детей играют в саду.,A1,llm-extra,sent_x1-drei-o.mp3,
x2-drei-o,Ich kaufe drei Äpfel.,I am buying three apples.,Я покупаю три яблока.,A1,llm-extra,sent_x2-drei-o.mp3,
t3403979,„Tom ist jung.“ – „Was heißt ‚jung‘?“ – „Er ist dreizehn.“,"""Tom is young."" ""How young is young?"" ""He's thirteen.""",«Том юн». — «Юн — это сколько?» — «Ему тринадцать».,A1,tatoeba:3403979,sent_t3403979.mp3,
x1-dreizehn-o,Meine Schwester ist dreizehn Jahre alt.,My sister is thirteen years old.,Моей сестре тринадцать лет.,A1,llm-extra,sent_x1-dreizehn-o.mp3,
x1-dreissig-o,Ich habe dreißig Euro.,I have thirty euros.,У меня есть тридцать евро.,A1,llm-extra,sent_x1-dreissig-o.mp3,
t1245902,Der dritte März ist der Tag des Puppenfestivals.,March 3 is the day of the Dolls' Festival.,Третье марта - день фестиваля кукол.,A1,tatoeba:1245902,sent_t1245902.mp3,
t604046,Bitte entwickeln und drucken Sie diesen Film.,Please develop and print this film.,,A1,tatoeba:604046,sent_t604046.mp3,
x1-drucken-v,Ich drucke den Brief heute.,I am printing the letter today.,Я печатаю письмо сегодня.,A1,llm-extra,sent_x1-drucken-v.mp3,
t6808002,Auf dem Gang steht ein Drucker.,There's a printer in the corridor.,В коридоре стоит принтер.,A1,tatoeba:6808002,sent_t6808002.mp3,
t3887687,Der Drucker braucht Papier.,The printer needs paper.,В принтер нужно вставить бумагу.,A1,tatoeba:3887687,sent_t3887687.mp3,
x1-druecken-v,Der Mann drückt die Tür.,The man pushes the door.,Мужчина толкает дверь.,A1,llm-extra,sent_x1-druecken-v.mp3,
x1-durch-p,Wir fahren durch die Stadt.,We are driving through the city.,Мы едем через город.,A1,llm-extra,sent_x1-durch-p.mp3,
x2-durch-p,Der Wind kommt durch das Fenster.,The wind comes through the window.,Ветер проникает через окно.,A1,llm-extra,sent_x2-durch-p.mp3,
t3412243,Wir unterbrechen das Programm für eine wichtige Durchsage.,We interrupt this program for an urgent message.,,A1,tatoeba:3412243,sent_t3412243.mp3,CC BY-NC 4.0
x1-durchsage-n,Die Durchsage kommt aus dem Lautsprecher.,The announcement comes from the loudspeaker.,Объявление звучит из громкоговорителя.,A1,llm-extra,sent_x1-durchsage-n.mp3,
t4405076,Hat sonst noch jemand Durst?,Is anyone else thirsty?,Кто-нибудь ещё пить хочет?,A1,tatoeba:4405076,sent_t4405076.mp3,
t2794360,Möchten Sie ein Zimmer mit Bad oder Dusche?,Would you like a room with a bath or a shower?,Вы хотели бы номер с ванной или с душем?,A1,tatoeba:2794360,sent_t2794360.mp3,
x1-dusche-n,Die Dusche ist im Badezimmer.,The shower is in the bathroom.,Душ находится в ванной комнате.,A1,llm-extra,sent_x1-dusche-n.mp3,
t2070533,Duschst du jeden Tag?,Do you shower every day?,Ты принимаешь душ каждый день?,A1,tatoeba:2070533,sent_t2070533.mp3,
t989029,Darf ich ein Foto von euch machen?,Can I take your picture?,Можно я вас сфотографирую?,A1,tatoeba:989029,sent_t989029.mp3,
x1-e-mail-n,Ich schicke meiner Mutter heute eine E-Mail.,I am sending my mother an email today.,Сегодня я отправляю маме электронное письмо.,A1,llm-extra,sent_x1-e-mail-n.mp3,
x2-e-mail-n,Meine E-Mail-Adresse steht auf diesem Zettel.,My email address is on this note.,Мой адрес электронной почты указан на этой записке.,A1,llm-extra,sent_x2-e-mail-n.mp3,
t408549,Jemand versteckt sich in der Ecke.,Someone is hiding in the corner.,Кто-то прячется в углу.,A1,tatoeba:408549,sent_t408549.mp3,CC BY-NC 4.0
t369946,Es gibt einen Buchladen gerade um die Ecke.,There is a bookstore just around the corner.,Сразу за углом есть книжный магазин.,A1,tatoeba:369946,sent_t369946.mp3,
t1318639,Wie viel Zeit verbringen Sie mit Ihrer Ehefrau?,How much time do you spend with your spouse?,Сколько времени Вы проводите со своей супругой?,A1,tatoeba:1318639,sent_t1318639.mp3,
t7012293,"Ich bin Leila, die Ehefrau von Sami.","I'm Layla, Sami's wife.","Я Лейла, жена Сами.",A1,tatoeba:7012293,sent_t7012293.mp3,
t367271,Ihr Ehemann ist seit drei Jahren im Gefängnis.,Her husband has been in prison for three years.,Её муж уже три года в тюрьме.,A1,tatoeba:367271,sent_t367271.mp3,
t1318637,Wie viel Zeit verbringen Sie mit Ihrem Ehemann?,How much time do you spend with your spouse?,Сколько времени Вы проводите со своим супругом?,A1,tatoeba:1318637,sent_t1318637.mp3,
x1-ei-n,Ein Ei liegt auf dem Teller.,An egg is on the plate.,На тарелке лежит яйцо.,A1,llm-extra,sent_x1-ei-n.mp3,
t1314924,Haben Sie es eilig?,Are you in a hurry?,Вы спешите?,A1,tatoeba:1314924,sent_t1314924.mp3,
x1-eilig-a,Wir haben es heute wirklich eilig.,We are really in a hurry today.,Сегодня мы действительно спешим.,A1,llm-extra,sent_x1-eilig-a.mp3,
t413,Ein Leben ohne Liebe hat überhaupt keinen Sinn.,Life without love is just totally pointless.,Жизнь без любви не имеет вообще никакого смысла.,A1,tatoeba:413,sent_t413.mp3,
x1-ein-o,Ein kleiner Hund schläft vor dem Haus.,A small dog is sleeping in front of the house.,Перед домом спит маленькая собака.,A1,llm-extra,sent_x1-ein-o.mp3,
x1-einfach-a,Diese Aufgabe ist für Kinder einfach.,This task is easy for children.,Это задание простое для детей.,A1,llm-extra,sent_x1-einfach-a.mp3,
x2-einfach-a,Der Weg zum Bahnhof ist einfach.,The way to the train station is easy.,Дорога до вокзала простая.,A1,llm-extra,sent_x2-einfach-a.mp3,
t8320734,Ich suche den Eingang.,I'm looking for the way in.,Я ищу вход.,A1,tatoeba:8320734,sent_t8320734.mp3,CC BY 4.0
x1-eingang-n,Der Eingang ist gleich neben der Tür.,The entrance is right next to the door.,Вход находится прямо рядом с дверью.,A1,llm-extra,sent_x1-eingang-n.mp3,
t1488030,Dieser Baum ist mehr als einhundert Jahre alt.,This tree is more than a century old.,Этому дереву больше ста лет.,A1,tatoeba:1488030,sent_t1488030.mp3,
t782696,Einhundert ist meine Lieblingsnummer.,One hundred is my favorite number.,Сто - это моё любимое число.,A1,tatoeba:782696,sent_t782696.mp3,
t642109,Ich gehe jeden zweiten Tag einkaufen.,I go shopping every other day.,Я хожу в магазин через день.,A1,tatoeba:642109,sent_t642109.mp3,
t1401784,Ich gehe morgen einkaufen.,I'm going shopping tomorrow.,Завтра иду за покупками.,A1,tatoeba:1401784,sent_t1401784.mp3,CC BY-NC 4.0
t410206,Hast du ihn eingeladen?,Did you invite him?,Ты пригласил его?,A1,tatoeba:410206,sent_t410206.mp3,
x1-einladen-v,Ich lade meine Freunde morgen ein.,I am inviting my friends tomorrow.,Завтра я приглашу своих друзей.,A1,llm-extra,sent_x1-einladen-v.mp3,
x1-einladung-n,Die Einladung liegt heute auf dem Tisch.,The invitation is on the table today.,Сегодня приглашение лежит на столе.,A1,llm-extra,sent_x1-einladung-n.mp3,
x2-einladung-n,Ich brauche eine Einladung für die Party.,I need an invitation for the party.,Мне нужно приглашение на вечеринку.,A1,llm-extra,sent_x2-einladung-n.mp3,
t3167572,Ich habe auch eins für dich.,"I got one for you, too.",У меня и для тебя один есть.,A1,tatoeba:3167572,sent_t3167572.mp3,
x1-eins-o,Der Bus fährt um eins am Nachmittag.,The bus leaves at one in the afternoon.,Автобус отправляется в час дня.,A1,llm-extra,sent_x1-eins-o.mp3,
x1-einsteigen-v,Ich steige in den Bus ein.,I get on the bus.,Я сажусь в автобус.,A1,llm-extra,sent_x1-einsteigen-v.mp3,
x2-einsteigen-v,Sie steigt in die Straßenbahn ein.,She gets on the tram.,Она садится в трамвай.,A1,llm-extra,sent_x2-einsteigen-v.mp3,
t842269,Man schuldet dir eintausend Yen.,A thousand yen is owed to you.,Тебе должны тысячу иен.,A1,tatoeba:842269,sent_t842269.mp3,
t2130970,Unter eintausend Yen kannst du es nicht kaufen.,"You can't buy it under 1,000 yen.",Дешевле чем за тысячу иен это не купить.,A1,tatoeba:2130970,sent_t2130970.mp3,
t783806,Für Kinder ist der Eintritt frei.,Admission is free for children.,Для детей вход бесплатный.,A1,tatoeba:783806,sent_t783806.mp3,
x1-eintritt-n,Der Eintritt kostet heute zehn Euro.,Admission costs ten euros today.,Сегодня вход стоит десять евро.,A1,llm-extra,sent_x1-eintritt-n.mp3,
t8320800,Sie sucht ein Einzelzimmer.,She's looking for a single room.,,A1,tatoeba:8320800,sent_t8320800.mp3,CC BY 4.0
x1-einzelzimmer-n,Das Einzelzimmer hat ein großes Fenster.,The single room has a large window.,В одноместном номере есть большое окно.,A1,llm-extra,sent_x1-einzelzimmer-n.mp3,
t743442,Es ist elf Uhr und er kommt nicht.,It's eleven and he's not coming.,"Одиннадцать часов, а он всё не идёт.",A1,tatoeba:743442,sent_t743442.mp3,
t2201730,Es gibt in diesem Haus elf Zimmer.,This house has eleven rooms.,В этом доме одиннадцать комнат.,A1,tatoeba:2201730,sent_t2201730.mp3,
x1-eltern-n,Meine Eltern besuchen mich am Sonntag.,My parents visit me on Sunday.,Мои родители навещают меня в воскресенье.,A1,llm-extra,sent_x1-eltern-n.mp3,
t1188646,"Ich empfehle dir, mit dem Zug zu fahren.",I recommend you to go by train.,Я советую тебе ехать на поезде.,A1,tatoeba:1188646,sent_t1188646.mp3,
t1634407,"Ich empfehle euch, meinem Beispiel nicht zu folgen.",I don't recommend following my example.,Я не советую вам следовать моему примеру.,A1,tatoeba:1634407,sent_t1634407.mp3,
t12221312,Kennst du den Empfänger?,Do you know the addressee?,Ты знаешь получателя?,A1,tatoeba:12221312,sent_t12221312.mp3,
x1-empfaenger-n,Der Empfänger bekommt heute einen Brief.,The recipient receives a letter today.,Получатель сегодня получает письмо.,A1,llm-extra,sent_x1-empfaenger-n.mp3,
x1-ende-n,Das Ende ist schon bald da.,The end is coming soon.,Конец уже скоро наступит.,A1,llm-extra,sent_x1-ende-n.mp3,
t88,Das wird nie enden.,This is never going to end.,Это никогда не закончится.,A1,tatoeba:88,sent_t88.mp3,CC BY-NC 4.0
t366414,Die Geschichte endet gut.,The story ends happily.,У истории хороший конец.,A1,tatoeba:366414,sent_t366414.mp3,
x1-entschuldigen-v,Entschuldigen Sie bitte meinen kleinen Fehler.,Please excuse my small mistake.,"Пожалуйста, извините мою небольшую ошибку.",A1,llm-extra,sent_x1-entschuldigen-v.mp3,
x2-entschuldigen-v,Bitte entschuldige meinen Fehler von gestern.,Please forgive my mistake from yesterday.,"Пожалуйста, извини меня за вчерашнюю ошибку.",A1,llm-extra,sent_x2-entschuldigen-v.mp3,
t3770679,Entschuldigung. Wann geht der nächste Zug nach Taejon?,Excuse me. What time is the next train to Taejon?,"Извините, когда ближайший поезд в Тэджон?",A1,tatoeba:3770679,sent_t3770679.mp3,
x1-entschuldigung-n,"Entschuldigung, können Sie mir helfen?","Excuse me, can you help me?","Извините, вы можете мне помочь?",A1,llm-extra,sent_x1-entschuldigung-n.mp3,
x1-er-o,Er wartet vor dem Haus.,He is waiting in front of the house.,Он ждёт перед домом.,A1,llm-extra,sent_x1-er-o.mp3,
x1-ergebnis-n,Das Ergebnis von heute ist sehr gut.,Today's result is very good.,Сегодняшний результат очень хороший.,A1,llm-extra,sent_x1-ergebnis-n.mp3,
x2-ergebnis-n,Wir sehen morgen das Ergebnis im Internet.,We will see the result on the internet tomorrow.,Завтра мы увидим результат в интернете.,A1,llm-extra,sent_x2-ergebnis-n.mp3,
x1-erklaeren-v,Sie erklärt heute die neue Aufgabe.,She explains the new task today.,Сегодня она объясняет новое задание.,A1,llm-extra,sent_x1-erklaeren-v.mp3,
x2-erklaeren-v,Der Lehrer erklärt die schwere Aufgabe.,The teacher explains the difficult task.,Учитель объясняет трудное задание.,A1,llm-extra,sent_x2-erklaeren-v.mp3,
t838636,Bitte erlauben Sie mir zu gehen.,Please allow me to go.,"Пожалуйста, позвольте мне пойти.",A1,tatoeba:838636,sent_t838636.mp3,
t5255238,Können wir uns das erlauben?,Can we afford it?,Мы можем себе это позволить?,A1,tatoeba:5255238,sent_t5255238.mp3,
t630339,Sonntag ist der erste Tag der Woche.,Sunday is the first day of the week.,Воскресенье – первый день недели.,A1,tatoeba:630339,sent_t630339.mp3,
t2981234,Das gilt sowohl für Erwachsene als auch für Kinder.,This is true of adults as well as of children.,"Это относится как ко взрослым, так и к детям.",A1,tatoeba:2981234,sent_t2981234.mp3,
t5597951,Das ist ein Erwachsenen- und kein Kinderfilm.,"It is a film for adults, not for children.","Это фильм для взрослых, а не для детей.",A1,tatoeba:5597951,sent_t5597951.mp3,
x1-erzaehlen-v,Wir erzählen heute eine kurze Geschichte.,We are telling a short story today.,Сегодня мы рассказываем короткую историю.,A1,llm-extra,sent_x1-erzaehlen-v.mp3,
x2-erzaehlen-v,Er erzählt morgen einen lustigen Witz.,He will tell a funny joke tomorrow.,Завтра он расскажет смешной анекдот.,A1,llm-extra,sent_x2-erzaehlen-v.mp3,
x1-essen-n,Das Essen ist warm.,The food is warm.,Еда тёплая.,A1,llm-extra,sent_x1-essen-n.mp3,
x2-essen-n,Das Essen schmeckt gut.,The food tastes good.,Еда вкусная.,A1,llm-extra,sent_x2-essen-n.mp3,
x1-essen-v,Wir essen heute zusammen.,We are eating together today.,Сегодня мы едим вместе.,A1,llm-extra,sent_x1-essen-v.mp3,
x2-essen-v,Die Kinder essen einen Apfel.,The children are eating an apple.,Дети едят яблоко.,A1,llm-extra,sent_x2-essen-v.mp3,
t1358849,Ist es in der Nähe eures Hauses?,Is it near your house?,Это рядом с вашим домом?,A1,tatoeba:1358849,sent_t1358849.mp3,
t3131180,Was ist mit eurem Auto passiert?,What happened to your car?,Что случилось с вашей машиной?,A1,tatoeba:3131180,sent_t3131180.mp3,CC BY-NC 4.0
t2220713,Ist das hier eure Katze?,Is this your cat?,Это ваша кошка?,A1,tatoeba:2220713,sent_t2220713.mp3,
t5319668,Ich mag eure Freunde nicht.,I don't like your friends.,Мне не нравятся ваши подруги.,A1,tatoeba:5319668,sent_t5319668.mp3,CC BY-NC 4.0
t6323771,Wer will für zwei Euro meinen Wagen waschen?,Who'll wash my car for two Euros?,Кто хочет помыть мою машину за два евро?,A1,tatoeba:6323771,sent_t6323771.mp3,
t1496771,Das haben wir in Europa nicht.,We don't have that in Europe.,У нас в Европе такого нет.,A1,tatoeba:1496771,sent_t1496771.mp3,CC BY-NC 4.0
x1-europa-n,Europa liegt zwischen dem Atlantik und Asien.,Europe lies between the Atlantic Ocean and Asia.,Европа находится между Атлантическим океаном и Азией.,A1,llm-extra,sent_x1-europa-n.mp3,
t650199,Viele Europäer kennen das moderne Japan nicht.,Many Europeans do not know modern Japan.,Многие европейцы не знают современной Японии.,A1,tatoeba:650199,sent_t650199.mp3,
t554523,Europäer trinken gerne Wein.,Europeans like to drink wine.,Европейцы любят вино.,A1,tatoeba:554523,sent_t554523.mp3,
t4943122,Sie sehen europäisch aus.,You look European.,Вы выглядите по-европейски.,A1,tatoeba:4943122,sent_t4943122.mp3,
t6039675,Einige europäische Länder gehören nicht zur Europäischen Union.,Some countries in Europe are not part of the European Union.,Некоторые европейские страны не состоят в Евросоюзе.,A1,tatoeba:6039675,sent_t6039675.mp3,
x1-fahren-v,Wir fahren morgen mit dem Zug nach Berlin.,We are going to Berlin by train tomorrow.,Завтра мы едем в Берлин на поезде.,A1,llm-extra,sent_x1-fahren-v.mp3,
t349875,Er arbeitet als Fahrer für die Bahn.,He works on the railroad as a driver.,Он работает машинистом поезда.,A1,tatoeba:349875,sent_t349875.mp3,
t744380,Der Fahrer ist für die Sicherheit der Fahrgäste verantwortlich.,The driver is responsible for the safety of the passengers.,Водитель несёт ответственность за безопасность пассажиров.,A1,tatoeba:744380,sent_t744380.mp3,
t8276554,Ich habe eine Fahrkarte.,I have a ticket.,У меня есть билет.,A1,tatoeba:8276554,sent_t8276554.mp3,CC BY 4.0
t370124,Meine Mutter kann nicht Fahrrad fahren.,My mother can't ride a bicycle.,Мама не умеет ездить на велосипеде.,A1,tatoeba:370124,sent_t370124.mp3,CC BY-NC 4.0
x1-fahrrad-n,Mein Fahrrad steht heute vor der Schule.,My bicycle is in front of the school today.,Сегодня мой велосипед стоит перед школой.,A1,llm-extra,sent_x1-fahrrad-n.mp3,
t1309740,Tom hat den falschen Bus genommen.,Tom took the wrong bus.,Том сел на неправильный автобус.,A1,tatoeba:1309740,sent_t1309740.mp3,
t363380,Es ist für meine Familie.,It's for my family.,Это для моей семьи.,A1,tatoeba:363380,sent_t363380.mp3,
t1888610,Ich will eine Familie haben.,I want a family.,Я хочу семью.,A1,tatoeba:1888610,sent_t1888610.mp3,
t2085924,In Frankreich steht der Vorname vor dem Familiennamen.,In France the first name comes before the last name.,Во Франции имя идёт перед фамилией.,A1,tatoeba:2085924,sent_t2085924.mp3,
x1-familienname-n,Wie lautet dein Familienname auf dem Formular?,What is your surname on the form?,Какая у тебя фамилия в анкете?,A1,llm-extra,sent_x1-familienname-n.mp3,
t13928934,"Wir brauchen Ihr Alter, Ihren Familienstand und Ihre Adresse.","We need your age, your maritial status and your address.","Нам нужен Ваш возраст, семейное положение и адрес.",A1,tatoeba:13928934,sent_t13928934.mp3,
t13929040,Sie müssen Ihren Familienstand ankreuzen.,You have to cross your maritial status.,Вы должны указать своё семейное положение.,A1,tatoeba:13929040,sent_t13929040.mp3,
t2295849,Welche Farbe hat dein Haar?,What color is your hair?,Какого цвета твои волосы?,A1,tatoeba:2295849,sent_t2295849.mp3,CC BY-NC 4.0
x1-farbe-n,Ich mag die blaue Farbe an diesem Kleid.,I like the blue color on this dress.,Мне нравится синий цвет этого платья.,A1,llm-extra,sent_x1-farbe-n.mp3,
t12372948,Ich möchte ein Fax schicken.,I'd like to send a fax.,Я хотел бы отправить факс.,A1,tatoeba:12372948,sent_t12372948.mp3,
t4613133,Könnten Sie den Preis bitte per Fax bestätigen?,Could you please confirm the price by fax?,Не могли бы вы подтвердить цену по факсу?,A1,tatoeba:4613133,sent_t4613133.mp3,
t1500178,Am vierzehnten Februar feiern die Amerikaner den Valentinstag.,"On February 14th, Americans celebrate Valentine's Day.",Четырнадцатого февраля американцы отмечают День святого Валентина.,A1,tatoeba:1500178,sent_t1500178.mp3,
x1-fehlen-v,Ein Teil fehlt am Ende des Satzes.,A part is missing at the end of the sentence.,В конце предложения не хватает одной части.,A1,llm-extra,sent_x1-fehlen-v.mp3,
x2-fehlen-v,Das Salz fehlt in der Suppe.,The salt is missing from the soup.,В супе не хватает соли.,A1,llm-extra,sent_x2-fehlen-v.mp3,
x1-fehler-n,Ich sehe einen Fehler in deinem neuen Text.,I see a mistake in your new text.,Я вижу ошибку в твоём новом тексте.,A1,llm-extra,sent_x1-fehler-n.mp3,
x2-fehler-n,Der Lehrer erklärt den Fehler im Unterricht.,The teacher explains the mistake in class.,Учитель объясняет ошибку на уроке.,A1,llm-extra,sent_x2-fehler-n.mp3,
t9950481,Ich kann nicht vor fünf Uhr Feierabend machen.,I can't leave work until five o'clock.,,A1,tatoeba:9950481,sent_t9950481.mp3,
x1-feierabend-n,Nach Feierabend gehe ich direkt nach Hause.,"After work, I go straight home.",После работы я сразу иду домой.,A1,llm-extra,sent_x1-feierabend-n.mp3,
t2244111,Mein Großvater mütterlicherseits feiert morgen seinen sechzigsten Geburtstag.,My grandfather on my mother's side is celebrating his 60th birthday tomorrow.,Мой дед по материнской линии завтра отмечает своё шестидесятилетие.,A1,tatoeba:2244111,sent_t2244111.mp3,
t3269722,Alle Schulen sind an diesem Feiertag geschlossen.,All the schools are closed on that holiday.,Все школы закрыты в этот праздник.,A1,tatoeba:3269722,sent_t3269722.mp3,
t441210,Der nächste Montag ist ein Feiertag.,Next Monday is a holiday.,Следующий понедельник — праздничный день.,A1,tatoeba:441210,sent_t441210.mp3,
t6075994,Schaust du jeden Tag Fernsehen?,Do you watch TV every day?,Ты каждый день смотришь телевизор?,A1,tatoeba:6075994,sent_t6075994.mp3,
x1-fernsehen-v,Wir sehen am Abend zusammen fern.,We watch television together in the evening.,Вечером мы вместе смотрим телевизор.,A1,llm-extra,sent_x1-fernsehen-v.mp3,
t948387,Ich bin noch nicht fertig.,I'm not ready yet.,Я ещё не готов.,A1,tatoeba:948387,sent_t948387.mp3,CC BY-NC 4.0
t1764820,Ich bin mit dir fertig.,I'm finished with you.,Я не хочу больше ничего общего иметь с тобой.,A1,tatoeba:1764820,sent_t1764820.mp3,
t8320820,Er macht ein Feuer.,He's making a fire.,Он разводит костёр.,A1,tatoeba:8320820,sent_t8320820.mp3,CC BY 4.0
x1-feuer-n,Das Feuer brennt heute Abend im Kamin.,The fire is burning in the fireplace this evening.,Сегодня вечером огонь горит в камине.,A1,llm-extra,sent_x1-feuer-n.mp3,
t667090,Ich habe hohes Fieber.,I have a high fever.,У меня высокая температура.,A1,tatoeba:667090,sent_t667090.mp3,CC BY-NC 4.0
x1-fieber-n,Das Fieber ist heute nicht sehr hoch.,The fever is not very high today.,Сегодня температура не очень высокая.,A1,llm-extra,sent_x1-fieber-n.mp3,
x1-film-n,Wir schauen heute Abend einen Film.,We are watching a movie this evening.,Сегодня вечером мы смотрим фильм.,A1,llm-extra,sent_x1-film-n.mp3,
x1-finden-v,Ich finde meinen Weg nach Hause nicht.,I can't find my way home.,Я не могу найти дорогу домой.,A1,llm-extra,sent_x1-finden-v.mp3,
t374342,Mein Vater hat etwas mit dieser Firma zu tun.,My father has something to do with that firm.,Мой отец имел дело с этой фирмой.,A1,tatoeba:374342,sent_t374342.mp3,
t670800,Viele Fische schwimmen im Fluss.,Many fish swim in the river.,В реке плавает много рыбы.,A1,tatoeba:670800,sent_t670800.mp3,
t2488940,Warum ist Fisch so teuer?,Why is fish so expensive?,Почему рыба такая дорогая?,A1,tatoeba:2488940,sent_t2488940.mp3,
t1314654,Machen Sie die Flasche auf.,Open the bottle.,Откройте бутылку.,A1,tatoeba:1314654,sent_t1314654.mp3,CC BY-NC 4.0
t975709,Ich kann nicht fliegen.,I can't fly.,Я не умею летать.,A1,tatoeba:975709,sent_t975709.mp3,
t452172,Wie weit ist es bis zum Flughafen?,How far away is the airport?,Как далеко до аэропорта?,A1,tatoeba:452172,sent_t452172.mp3,CC BY-NC 4.0
x1-flughafen-n,Der Flughafen ist heute sehr voll.,The airport is very crowded today.,Сегодня в аэропорту очень много людей.,A1,llm-extra,sent_x1-flughafen-n.mp3,
t884580,Darf ich ein Foto von dir machen?,Can I take your photograph?,Можно тебя сфотографировать?,A1,tatoeba:884580,sent_t884580.mp3,
t2858946,Sehen Sie sich dieses Foto gut an!,Have a good look at this picture.,Посмотрите внимательно на эту фотографию.,A1,tatoeba:2858946,sent_t2858946.mp3,CC BY-NC 4.0
x1-frage-n,Ich habe heute eine wichtige Frage.,I have an important question today.,Сегодня у меня важный вопрос.,A1,llm-extra,sent_x1-frage-n.mp3,
x2-frage-n,Kann ich dir eine Frage stellen?,Can I ask you a question?,Можно я задам тебе вопрос?,A1,llm-extra,sent_x2-frage-n.mp3,
x1-fragen-v,Ich frage den Lehrer nach dem Weg.,I ask the teacher for directions.,"Я спрашиваю учителя, как пройти.",A1,llm-extra,sent_x1-fragen-v.mp3,
x2-fragen-v,Darf ich dich etwas fragen?,May I ask you something?,Можно я тебя кое о чём спрошу?,A1,llm-extra,sent_x2-fragen-v.mp3,
x1-frau-n,Die Frau wartet vor dem Haus.,The woman is waiting in front of the house.,Женщина ждёт перед домом.,A1,llm-extra,sent_x1-frau-n.mp3,
x2-frau-n,Eine Frau kauft Brot im Laden.,A woman is buying bread in the shop.,Женщина покупает хлеб в магазине.,A1,llm-extra,sent_x2-frau-n.mp3,
t6643408,Ist das nicht dein freier Tag?,Isn't it your day off?,У тебя разве не выходной?,A1,tatoeba:6643408,sent_t6643408.mp3,
x1-frei-a,Dieser Sitz ist heute noch frei.,This seat is still available today.,Это место сегодня ещё свободно.,A1,llm-extra,sent_x1-frei-a.mp3,
t2121378,Kommen Sie bitte am nächsten Freitag!,Please come next Friday.,"Приходите, пожалуйста, в следующую пятницу.",A1,tatoeba:2121378,sent_t2121378.mp3,CC BY-NC 4.0
x1-freitag-n,Wir treffen uns am Freitag im Café.,We are meeting at the café on Friday.,Мы встречаемся в кафе в пятницу.,A1,llm-extra,sent_x1-freitag-n.mp3,
t2223542,Ich habe eine leichte Arbeit und viel Freizeit.,I have an easy job and a lot of free time.,У меня простая работа и много свободного времени.,A1,tatoeba:2223542,sent_t2223542.mp3,
t1550686,Ich höre immer gerne klassische Musik in meiner Freizeit.,I always enjoy listening to classical music in my free time.,Я всегда с удовольствием слушаю классическую музыку в свободное время.,A1,tatoeba:1550686,sent_t1550686.mp3,
t1606138,Stecke deine Nase nicht in fremde Angelegenheiten.,Mind your own business.,Занимайся своими собственными делами.,A1,tatoeba:1606138,sent_t1606138.mp3,
t915930,Der Hund bellt alle fremden Leute an.,The dog barks at all strangers.,Собака лает на всех чужих.,A1,tatoeba:915930,sent_t915930.mp3,
